appl_id,project,nctid
9901983,DA013035-17S8,NCT02032433
9901983,DA013035-17S8,NCT04289363
9901983,DA013035-17S8,NCT04464980
9901983,DA013035-17S8,NCT04762537
9902068,DK123816-01,NCT04571619
9902084,DK123817-01,NCT04571619
9902131,DK123818-01,NCT04571619
9902582,DK123821-01,NCT04571619
9902690,DA040316-05S4,NCT03559179
9902690,DA040316-05S4,NCT04198428
9902690,DA040316-05S4,NCT04345718
9902690,DA040316-05S4,NCT04867382
9902690,DA040316-05S4,NCT04921787
9902691,DA040316-05S2,NCT03559179
9902691,DA040316-05S2,NCT04198428
9902691,DA040316-05S2,NCT04345718
9902691,DA040316-05S2,NCT04867382
9902691,DA040316-05S2,NCT04921787
9902694,DA040316-05S5,NCT03559179
9902694,DA040316-05S5,NCT04198428
9902694,DA040316-05S5,NCT04345718
9902694,DA040316-05S5,NCT04867382
9902694,DA040316-05S5,NCT04921787
9902764,MH121942-01,NCT04600414
9903903,MH121944-01,NCT04245423
9905069,MH121954-01,NCT04559893
9905069,MH121954-01,NCT04634279
9905170,DA050325-01,NCT04199728
9905868,DA013732-20S3,NCT03023930
9905868,DA013732-20S3,NCT03275350
9905868,DA013732-20S3,NCT03911466
9905868,DA013732-20S3,NCT03911739
9905868,DA013732-20S3,NCT03918850
9905868,DA013732-20S3,NCT03936985
9906533,DA040314-05S5,NCT03407638
9906533,DA040314-05S5,NCT04535583
9906729,DA040314-05S6,NCT03407638
9906729,DA040314-05S6,NCT04535583
9910942,DA050358-01,NCT04340622
9912034,DA050398-01,NCT05006846
9912034,DA050398-01,NCT05017272
9912651,DA050380-01,NCT04551092
9913686,DA015831-18S7,NCT03023930
9913686,DA015831-18S7,NCT03985163
9913686,DA015831-18S7,NCT04200339
9913686,DA015831-18S7,NCT04464980
9914450,DA015831-18S4,NCT03023930
9914450,DA015831-18S4,NCT03985163
9914450,DA015831-18S4,NCT04200339
9914450,DA015831-18S4,NCT04464980
9914612,DA013035-17S9,NCT02032433
9914612,DA013035-17S9,NCT04289363
9914612,DA013035-17S9,NCT04464980
9914612,DA013035-17S9,NCT04762537
9914688,DA013035-17SA,NCT02032433
9914688,DA013035-17SA,NCT04289363
9914688,DA013035-17SA,NCT04464980
9914688,DA013035-17SA,NCT04762537
9916032,DA013035-17SB,NCT02032433
9916032,DA013035-17SB,NCT04289363
9916032,DA013035-17SB,NCT04464980
9916032,DA013035-17SB,NCT04762537
9916048,DA015831-17S4,NCT03023930
9916048,DA015831-17S4,NCT03985163
9916048,DA015831-17S4,NCT04200339
9916048,DA015831-17S4,NCT04464980
9916056,DA015831-17S5,NCT03023930
9916056,DA015831-17S5,NCT03985163
9916056,DA015831-17S5,NCT04200339
9916056,DA015831-17S5,NCT04464980
9916202,DA015831-17S6,NCT03023930
9916202,DA015831-17S6,NCT03985163
9916202,DA015831-17S6,NCT04200339
9916202,DA015831-17S6,NCT04464980
9916346,DA015831-17S8,NCT03023930
9916346,DA015831-17S8,NCT03985163
9916346,DA015831-17S8,NCT04200339
9916346,DA015831-17S8,NCT04464980
9916746,DA046635-02,NCT03959111
9916836,DA040314-04S5,NCT03407638
9916836,DA040314-04S5,NCT04535583
9917054,DA040314-04S6,NCT03407638
9917054,DA040314-04S6,NCT04535583
9917086,DA047720-01S1,NCT03810495
9917086,DA047720-01S1,NCT04716881
9917193,DA040314-04S7,NCT03407638
9917193,DA040314-04S7,NCT04535583
9917748,DA049406-02,NCT04111939
9917749,DA049412-02,NCT04111939
9917750,DA049415-02,NCT04111939
9917751,DA049417-02,NCT04111939
9918723,DA013727-20S4,NCT01675661
9918723,DA013727-20S4,NCT03078075
9918723,DA013727-20S4,NCT03918850
9918723,DA013727-20S4,NCT04907357
9920935,DA015831-18S6,NCT03023930
9920935,DA015831-18S6,NCT03985163
9920935,DA015831-18S6,NCT04200339
9920935,DA015831-18S6,NCT04464980
9921149,DA040309-05S4,NCT02915341
9921149,DA040309-05S4,NCT04155502
9921149,DA040309-05S4,NCT04535583
9921320,DA043288-03,NCT04027075
9921776,DA040309-05S3,NCT02915341
9921776,DA040309-05S3,NCT04155502
9921776,DA040309-05S3,NCT04535583
9923412,DA013035-18S4,NCT02032433
9923412,DA013035-18S4,NCT04289363
9923412,DA013035-18S4,NCT04464980
9923412,DA013035-18S4,NCT04762537
9923816,DA036221-05S4,NCT02672150
9923866,DA013035-18S3,NCT02032433
9923866,DA013035-18S3,NCT04289363
9923866,DA013035-18S3,NCT04464980
9923866,DA013035-18S3,NCT04762537
