Appl Id,Project,ClinicalTrial.gov NCT (Source) Lists
9914688,DA013035-17SA,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9916032,DA013035-17SB,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9916048,DA015831-17S4,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916056,DA015831-17S5,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916202,DA015831-17S6,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916346,DA015831-17S8,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9916746,DA046635-02,NCT03959111 (HSSTUDY)
9916836,DA040314-04S5,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9917054,DA040314-04S6,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9917086,DA047720-01S1,"NCT03810495 (HSSTUDY, CT), NCT04716881 (CT)"
9917193,DA040314-04S7,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9917748,DA049406-02,"NCT04111939 (HSSTUDY, CT)"
9917749,DA049412-02,"NCT04111939 (HSSTUDY, CT)"
9917750,DA049415-02,"NCT04111939 (HSSTUDY, CT)"
9917751,DA049417-02,"NCT04111939 (HSSTUDY, CT)"
9918723,DA013727-20S4,"NCT01675661 (CT), NCT03078075 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04907357 (CT)"
9920935,DA015831-18S6,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9921149,DA040309-05S4,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9921320,DA043288-03,NCT04027075 (HSSTUDY)
9921776,DA040309-05S3,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9923412,DA013035-18S4,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9923816,DA036221-05S4,NCT02672150 (CT)
9923866,DA013035-18S3,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9924845,DA013035-18S6,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9926627,DA015831-18S8,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9928319,DA013035-18S5,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9928595,DA015831-18S9,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9932780,NS115631-01,"NCT04144972 (HSSTUDY, CT)"
9937717,DA049435-02,"NCT04418453 (HSSTUDY, CT)"
9938533,DA049444-02,"NCT03918850 (HSSTUDY), NCT03936985 (CT)"
9938535,DA049468-02,NCT03918850 (HSSTUDY)
9949667,DA049436-02,"NCT03918850 (HSSTUDY), NCT04218201 (HSSTUDY)"
9963442,AT010117-02,NCT04584502 (CT)
9968898,DA040317-05S3,"NCT01966432 (CT), NCT03248947 (CT)"
9970641,DA015831-18S5,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9978015,DA050069-02,"NCT04069624 (HSSTUDY, CT)"
9978016,DA050072-02,"NCT04309565 (HSSTUDY, CT)"
9978018,DA050071-02,"NCT04216719 (HSSTUDY), NCT04873401 (CT)"
9978019,DA050074-02,NCT04276792 (CT)
9978020,DA050077-02,"NCT04408313 (HSSTUDY, CT)"
9980028,DA044053-03S1,NCT03779997 (CT)
9980049,DA040213-05S1,"NCT03080259 (HSSTUDY, CT)"
9980635,TR001608-04S1,"NCT03938857 (HSSTUDY, CT), NCT04885530 (CT)"
9982460,AT010106-02,"NCT04433975 (HSSTUDY, CT)"
9982464,AT010125-02,"NCT04278586 (CT), NCT04595084 (CT)"
9983354,HD095254-02S1,"NCT01353313 (HSSTUDY), NCT01702805 (HSSTUDY), NCT01793129 (HSSTUDY), NCT02951130 (HSSTUDY), NCT03169881 (HSSTUDY), NCT03340727 (HSSTUDY), NCT03456336 (HSSTUDY)"
9983431,DA048502-01A1,NCT04556552 (CT)
9990159,DA013727-20S5,"NCT01675661 (CT), NCT03078075 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04907357 (CT)"
9993931,DA048756-01S1,"NCT04532619 (HSSTUDY), NCT04793464 (HSSTUDY, CT)"
9998189,HD036801-21S1,"NCT00014989 (CT), NCT00069576 (CT), NCT00098709 (CT), NCT00135902 (CT), NCT00388297 (CT), NCT00439374 (CT), NCT01222247 (CT), NCT01376778 (CT), NCT01959321 (CT), NCT01990612 (CT), NCT02518594 (CT), NCT02901626 (CT), NCT03364491 (CT), NCT03487185 (CT), NCT03944512 (CT)"
10013399,DA051272-01,NCT04945525 (HSSTUDY)
10020199,NS113661-02,"NCT04085406 (HSSTUDY, CT)"
